,station,lat,lon,time,weather,weatherfont,weathersymbol,weathercolour,temperature,pressure,sl_pressure,dewpoint,windspeed,winddir,visibility,visual_range,cloudcover,pressure3h_change,rain,wwletter
441,EEEI,59.2603,24.2085,2024-05-28 11:50:00,,,,,28.0,1019.0,1101.1910628512794,6.0,9.0,230.0,10000.0,99999,,0.0,0,1116002309102802060301904101151000600007000080000
685,EKVD,55.4363,9.33092,2024-05-28 11:50:00,,,,,13.0,1015.0,1425.4343150342415,11.0,9.0,280.0,10000.0,99999,,0.0,0,11160028091013020110301504425451000600007000080000
686,EKVJ,55.9901,8.35391,2024-05-28 11:50:00,,,,,14.0,1014.0,1056.4462112663682,9.0,7.0,280.0,10000.0,99999,,0.0,0,1116002807101402090301404056451000600007000080000
757,LIMW,45.7385,7.36872,2024-05-28 11:50:00,,,,,24.0,1016.0,4489.41591190307,5.0,9.0,240.0,10000.0,99999,,0.0,0,1116002409102402050301604489451000600007000080000
814,ESGG,57.6628,12.2798,2024-05-28 11:50:00,,,,,20.0,1011.0,2024.6732546284607,14.0,8.0,120.0,10000.0,99999,,0.0,0,11160012081020020140301104024651000600007000080000
830,ESSB,59.3544,17.9417,2024-05-28 11:50:00,,,,,26.0,1016.0,1079.582453417636,10.0,6.0,210.0,10000.0,99999,,0.0,0,11160021061026020100301604079551000600007000080000
993,EGJJ,49.2079,-2.19551,2024-05-28 11:50:00,,,,,15.0,1016.0,1735.1168729855142,14.0,13.0,220.0,10000.0,99999,,0.0,0,11160022131015020140301604735151000600007000080000
1029,ETNG,50.9608,6.04242,2024-05-28 11:50:00,,,,,18.0,1017.0,1651.1524946145419,7.0,10.0,230.0,10000.0,99999,,0.0,0,1116002310101802070301704651151000600007000080000
1068,LIPK,44.1948,12.0701,2024-05-28 11:50:00,16.0,36.0,1,,23.0,1014.0,1164.5450506923073,16.0,9.0,340.0,8000.0,99999,,0.0,0,11140034091023020160301404164551000600007160080000
1085,LGSK,39.1771,23.5037,2024-05-28 11:50:00,,,,,23.0,1013.0,1095.6515567509462,13.0,2.0,,10000.0,99999,,0.0,0,11160036021023020130301304095651000600007000080000
1103,EGPU,56.4992,-6.86917,2024-05-28 11:50:00,58.0,36.0,[,green,12.0,1002.0,1112.8986047165463,11.0,17.0,130.0,4400.0,99999,,0.0,0,11120013171012020110300204112851000600007580080000
1231,LGLR,39.65628,22.34,2024-05-28 11:50:00,,,,,29.0,1012.0,1316.0955508746406,8.0,8.0,80.0,10000.0,99999,,0.0,0,1116000808102902080301204316051000600007000080000
1235,LGSY,38.9676,24.4872,2024-05-28 11:50:00,,,,,22.0,1014.0,1084.3037849304176,11.0,10.0,80.0,10000.0,99999,,0.0,0,11160008101022020110301404084351000600007000080000
1236,LGTG,38.3398,23.565,2024-05-28 11:50:00,,,,,28.0,1013.0,1681.4839022931599,0.0,9.0,40.0,10000.0,99999,,0.0,0,1116000409102802000301304681451000600007000080000
1396,LTAL,41.3142,33.7958,2024-05-28 11:50:00,,,,,19.0,1012.0,10.007791270971413,9.0,5.0,,10000.0,99999,,0.0,0,111600360510190209030120410051000600007000080000
1397,LTAS,41.5064,32.0886,2024-05-28 11:50:00,,,,,18.0,1014.0,1090.2521213338473,13.0,5.0,300.0,10000.0,99999,,0.0,0,11160030051018020130301404090251000600007000080000
1400,LTBO,38.6815,29.4717,2024-05-28 11:50:00,,,,,21.0,1013.0,7753.438037067856,4.0,7.0,270.0,10000.0,99999,,0.0,0,1116002707102102040301304753451000600007000080000
1402,LTCL,37.9789,41.8404,2024-05-28 11:50:00,,,,,34.0,1011.0,3651.3756275278133,8.0,14.0,140.0,10000.0,99999,,0.0,0,1116001414103402080301104651351000600007000080000
1403,LTCM,42.0158,35.0664,2024-05-28 11:50:00,,,,,18.0,1014.0,1052.8109037246504,15.0,7.0,60.0,10000.0,99999,,0.0,0,11160006071018020150301404052851000600007000080000
1404,LTCO,39.65454,43.02598,2024-05-28 11:50:00,,,,,21.0,1020.0,13.23577291877738,9.0,3.0,40.0,10000.0,99999,,0.0,0,111600040310210209030200413251000600007000080000
1405,LTCP,37.7314,38.4689,2024-05-28 11:50:00,,,,,29.0,1010.0,4556.197192766323,8.0,8.0,200.0,10000.0,99999,,0.0,0,1116002008102902080301004556151000600007000080000
1406,LTCR,37.2233,40.6317,2024-05-28 11:50:00,,,,,32.0,1010.0,3402.7168363187516,7.0,8.0,230.0,10000.0,99999,,0.0,0,1116002308103202070301004402751000600007000080000
1407,LTFB,37.9507,27.329,2024-05-28 11:50:00,,,,,27.0,1011.0,1023.8297320400181,8.0,8.0,230.0,10000.0,99999,,0.0,0,1116002308102702080301104023851000600007000080000
1408,LTFK,40.2045,25.8833,2024-05-28 11:50:00,,,,,25.0,1014.0,1117.3079056364006,10.0,7.0,340.0,10000.0,99999,,0.0,0,11160034071025020100301404117351000600007000080000
1411,LTAY,37.7856,29.7013,2024-05-28 11:50:00,,,,,19.0,1014.0,8215.725758652266,9.0,7.0,80.0,10000.0,99999,,0.0,0,1116000807101902090301404215751000600007000080000
1412,LTBD,37.815,27.8953,2024-05-28 11:50:00,,,,,30.0,1010.0,1130.2143448908557,5.0,7.0,280.0,10000.0,99999,,0.0,0,1116002807103002050301004130251000600007000080000
1414,LTBH,40.1377,26.4268,2024-05-28 11:50:00,,,,,24.0,1014.0,1047.4376124986402,7.0,7.0,20.0,10000.0,99999,,0.0,0,1116000207102402070301404047451000600007000080000
